,gene
1544,Snx27
1545,Trrap
1546,Med15
1547,Id2
1548,Pum2
1549,Msh2
1550,Ciz1
1551,Rapgef2
1552,Actr10
1553,Etf1
1554,Fam53c
1555,AW549877
1556,1110008J03Rik
1557,Agtpbp1
1558,Bex2
1559,Tmem68
1560,Atp11b
1561,Rnf220
1562,Tjp2
1563,Cr1l
1564,Ncan
1565,Jakmip1
1566,Ttyh3
1567,Ttl
1568,Gnas
1569,Sema3e
1570,Camkk2
1571,Stat5b
1572,Prickle1
1573,Alg14
1574,Slc25a31
1575,Rap1b
1576,Clip2
1577,Ahcyl2
1578,Egln1
1579,Ip6k1
1580,Gpsm1
1581,Bcl2l2
1582,Arl5a
1583,Dixdc1
1584,Nucb1
1585,Dclk1
1586,Wasf1
1587,Hp1bp3
1588,Mtx2
1589,Fam21
1590,Papss1
1591,Nova1
1592,Gnb2l1
1593,Rbm12
1594,Rasa1
1595,Dynll2
1596,Map3k1
1597,Trappc10
1598,2310035C23Rik
1599,Prkaa1
1600,Cltb
1601,Rprd1a
1602,Dgcr2
1603,Fnbp4
1604,Rad54l2
1605,Rangrf
1606,Ddx3x
1607,Ptms
1608,Dtd1
1609,Eif1
1610,Ifit2
1611,Tmcc2
1612,Cd3eap
1613,Sms
1614,Esam
1615,Zfp692
1616,Trappc11
1617,Atrx
1618,Dip2c
1619,Afap1
1620,Ensa
1621,Pacs2
1622,Nradd
1623,Ahcyl1
1624,Atp5d
1625,Pmvk
1626,Arglu1
1627,Fam57b
1628,Sep15
1629,Slc35d3
1630,Tmem59
1631,Timm23
1632,Snx32
1633,Psd3
1634,Ncoa6
1635,Uhrf1bp1l
1636,Ube2e2
1637,Fbxo28
1638,Tm2d2
